City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,271.19,88,97,1.86,GS,1689888945
1,edinburgh of the seven seas,-37.0676,-12.3116,284.85,58,38,10.96,SH,1689888950
2,adamstown,-25.066,-130.1015,295.45,86,100,17.86,PN,1689888944
3,kudahuvadhoo,2.6708,72.8944,301.41,73,99,3.68,MV,1689889577
4,margaret river,-33.95,115.0667,287.82,68,30,8.52,AU,1689889107
5,hamilton,39.1834,-84.5333,304.21,68,40,4.63,US,1689889075
6,puerto ayora,-0.7393,-90.3518,304.13,91,49,4.02,EC,1689889098
7,hobyo,5.3505,48.5268,298.42,83,97,12.47,SO,1689889105
8,san patricio,28.017,-97.5169,311.02,42,4,7.29,US,1689888944
9,hasaki,35.7333,140.8333,298.88,83,1,4.81,JP,1689889069
10,nemuro,43.3236,145.575,288.14,91,1,3.44,JP,1689889098
11,lebu,-37.6167,-73.65,285.48,94,100,7.13,CL,1689889099
12,polyarnyy,69.1989,33.4478,281.66,89,100,6.28,RU,1689889081
13,port-aux-francais,-49.35,70.2167,274.89,51,75,16.94,TF,1689889078
14,chibougamau,49.9168,-74.3659,292.94,73,100,2.36,CA,1689889580
15,gadzhiyevo,69.2551,33.3362,281.6,89,100,6.51,RU,1689889183
16,port elizabeth,-33.918,25.5701,285.31,58,40,5.66,ZA,1689889050
17,i-n-salah,27.1935,2.4607,309.78,9,0,6.23,DZ,1689889085
18,longyearbyen,78.2186,15.6401,284.06,71,20,9.26,SJ,1689889093
19,"laikit, laikit ii (dimembe)",1.4792,124.9735,293.62,100,40,1.03,ID,1689889580
20,kuta,-8.7233,115.1723,297.12,83,40,0.51,ID,1689889581
21,lerwick,60.1545,-1.1494,283.15,84,100,6.97,GB,1689889581
22,bethel,41.3712,-73.414,302.05,64,0,3.09,US,1689889099
23,waitangi,-43.9535,-176.5597,280.83,94,84,2.24,NZ,1689889077
24,bilibino,68.0546,166.4372,291.42,56,71,1.38,RU,1689889081
